row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,sales_outlier_flag,profit_outlier_flag,quantity_outlier_flag,discount_outlier_flag,order_year,order_month,order_month_name,order_quarter,ship_days,revenue,cost,profit_margin,discount_band,profitability_status,customer_order_count,customer_lifetime_value,customer_value_segment
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,0,0,0,0,2016,2016-11-01,Nov,Q4,3,261.96,220.04639999999998,0.16000000000000003,No Discount,Profitable,3,169.93439999999998,Medium Value
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,1,1,0,0,2016,2016-11-01,Nov,Q4,3,731.94,512.3580000000001,0.3,No Discount,Profitable,3,169.93439999999998,Medium Value
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,0,0,0,0,2016,2016-06-01,Jun,Q2,4,14.62,7.748599999999999,0.47000000000000003,No Discount,Profitable,5,-427.184,Low Value
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,1,1,0,0,2015,2015-10-01,Oct,Q4,7,957.5775,1340.6085,-0.4,High,Loss-Making,6,-81.0858,Low Value
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,0,0,0,0,2015,2015-10-01,Oct,Q4,7,22.368,19.851599999999998,0.1125,Medium,Profitable,6,-81.0858,Low Value
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,0,0,0,0,2014,2014-06-01,Jun,Q2,5,48.86,34.6906,0.29,No Discount,Profitable,8,802.7898,VIP
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,0,0,0,0,2014,2014-06-01,Jun,Q2,5,7.28,5.3144,0.27,No Discount,Profitable,8,802.7898,VIP
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,1,1,0,0,2014,2014-06-01,Jun,Q2,5,907.152,816.4368000000001,0.09999999999999999,Medium,Profitable,8,802.7898,VIP
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,0,0,0,0,2014,2014-06-01,Jun,Q2,5,18.504,12.721500000000002,0.31249999999999994,Medium,Profitable,8,802.7898,VIP
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,0,0,0,0,2014,2014-06-01,Jun,Q2,5,114.9,80.43,0.3,No Discount,Profitable,8,802.7898,VIP
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,1,1,0,0,2014,2014-06-01,Jun,Q2,5,1706.184,1620.8748,0.05,Medium,Profitable,8,802.7898,VIP
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,1,0,0,0,2014,2014-06-01,Jun,Q2,5,911.424,843.0672,0.07500000000000001,Medium,Profitable,8,802.7898,VIP
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,0,0,0,0,2017,2017-04-01,Apr,Q2,5,15.552,10.108799999999999,0.35000000000000003,Medium,Profitable,4,435.8274,High Value
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,0,1,0,0,2016,2016-12-01,Dec,Q4,5,407.976,275.3838,0.32499999999999996,Medium,Profitable,7,514.6527,High Value
